pr_number,total_commits,human_commits,bot_commits,agent_commits,pattern,contributors,pr_title,pr_created_at,pr_merged_at,error
9027,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group across 1 directory with 15 updates,2025-06-09 21:36:33+00:00,2025-06-09 22:04:14+00:00,
9026,6,0,0,6,agent_only,agent,Fix Anthropic browser image format error,2025-06-09 21:35:54+00:00,,
9025,6,6,0,0,human_only,human,Update gitlab integration docs,2025-06-09 20:55:40+00:00,2025-07-18 20:42:56+00:00,
9024,3,3,0,0,human_only,human,chore - log size of large events,2025-06-09 19:55:50+00:00,2025-06-09 21:47:40+00:00,
9022,5,0,0,5,agent_only,agent,Make timeout parameter required in execute_bash tool,2025-06-09 19:33:44+00:00,,
9021,30,3,0,27,hybrid,"human, agent",Add Bitbucket microagent and backend implementation,2025-06-09 19:27:47+00:00,2025-06-18 04:04:29+00:00,
9020,2,2,0,0,human_only,human,Update GUI docs,2025-06-09 19:17:39+00:00,2025-06-09 19:38:45+00:00,
9019,14,5,0,9,hybrid,"human, agent",Move get_agent_obs_text function to browser utils and add return_all option,2025-06-09 19:15:46+00:00,2025-06-11 04:32:38+00:00,
9017,7,7,0,0,human_only,human,[Docs]: add info about lower scope tokens for gitlab,2025-06-09 18:45:17+00:00,2025-06-11 19:34:06+00:00,
9016,3,3,0,0,human_only,human,chore(billing): add stripe powered by,2025-06-09 17:53:53+00:00,2025-06-10 14:10:09+00:00,
9015,11,9,0,2,hybrid,"human, agent",[OH-Versa] Add remaining browsing & GAIA eval improvement,2025-06-09 17:51:20+00:00,2025-06-25 05:36:15+00:00,
9014,3,1,0,2,hybrid,"human, agent",Make timeout parameter required in execute_bash tool,2025-06-09 16:25:29+00:00,,
9012,30,24,0,6,hybrid,"human, agent","[Refactor, Fix]: Agent controller state/metrics management",2025-06-09 16:00:55+00:00,2025-06-16 15:24:13+00:00,
9011,1,0,0,1,agent_only,agent,Fix budget tracking and reset behavior,2025-06-09 15:40:14+00:00,,
9010,4,4,0,0,human_only,human,Added environment variable allowing skipping dependency checks,2025-06-09 15:07:24+00:00,2025-06-09 17:14:39+00:00,
9008,2,2,0,0,human_only,human,Update Cloud API docs,2025-06-09 14:41:02+00:00,2025-06-09 15:42:38+00:00,
9007,2,2,0,0,human_only,human,fix(ui): startup message ui,2025-06-09 14:40:48+00:00,2025-06-10 12:50:18+00:00,
9006,1,1,0,0,human_only,human,Converted exponential backoff to fixed,2025-06-09 14:40:27+00:00,2025-06-09 15:02:52+00:00,
9005,1,1,0,0,human_only,human,Fix some broken links,2025-06-09 13:24:14+00:00,2025-06-09 13:37:00+00:00,
9004,13,3,0,10,hybrid,"human, agent",Fix default provider in CLI to be 'anthropic' instead of 'openai',2025-06-09 12:51:36+00:00,2025-06-12 03:02:04+00:00,
9003,8,1,0,7,hybrid,"human, agent",Fix: Enable text selection and copy-paste in CLI,2025-06-09 12:28:04+00:00,,
9002,1,0,0,1,agent_only,agent,Add CLI option to bug template installation dropdown,2025-06-09 12:21:15+00:00,2025-06-09 12:49:47+00:00,
8993,3,2,1,0,hybrid,"bot, human",chore(deps): bump the version-all group with 15 updates,2025-06-08 22:39:20+00:00,,
8992,30,15,0,15,hybrid,"human, agent",feat(frontend): add user feedback Likert scale for agent performance rating (only on OH Cloud),2025-06-08 22:27:32+00:00,2025-06-16 19:26:24+00:00,
8991,30,15,0,15,hybrid,"human, agent",Update microagent documentation to clarify that type field is optional,2025-06-08 19:39:30+00:00,,
8990,30,15,0,15,hybrid,"human, agent",Update documentation for command-style microagents with user input support,2025-06-08 19:15:54+00:00,,
8987,1,1,0,0,human_only,human,Fix typo in evaluation README.md,2025-06-08 11:33:32+00:00,2025-06-08 14:14:07+00:00,
8986,2,2,0,0,human_only,human,fix: create metadata.json when joining conversation if it doesn't exist,2025-06-08 02:51:56+00:00,2025-06-23 19:05:26+00:00,
8985,1,1,0,0,human_only,human,Nested event store search no longer throwing errors on 404,2025-06-07 23:50:41+00:00,2025-06-08 19:41:58+00:00,
8984,30,5,0,25,hybrid,"human, agent",feat: Add microagents UI to conversation context menu,2025-06-07 22:12:47+00:00,2025-06-11 15:12:28+00:00,
8983,1,0,0,1,agent_only,agent,Add /conversation/{conv_id}/microagents endpoint,2025-06-07 22:00:22+00:00,,
8981,2,0,0,2,agent_only,agent,Fix UI layout issues on iPhone 12 Pro,2025-06-07 16:40:33+00:00,,
8977,2,1,0,1,hybrid,"human, agent",Improve repo.md documentation to instruct OpenHands on capturing repository context efficiently,2025-06-07 14:35:10+00:00,2025-06-07 15:18:54+00:00,
8975,1,1,0,0,human_only,human,Update summary_prompt for improved code quality,2025-06-07 12:57:04+00:00,2025-06-07 18:46:41+00:00,
8974,1,1,0,0,human_only,human,feat: increase requests timeout to 60s,2025-06-07 02:34:18+00:00,2025-06-09 18:42:04+00:00,
8972,1,1,0,0,human_only,human,[BUG FIX] Remove usage of mapProvider and supporting tests due to undesired int…,2025-06-07 00:56:03+00:00,,
8971,1,1,0,0,human_only,human,fix(devcontainer): configure host networking to fix runtime connection,2025-06-06 22:00:40+00:00,2025-06-06 23:44:23+00:00,
8969,4,4,0,0,human_only,human,Wait for nested container graceful shutdown,2025-06-06 21:20:39+00:00,2025-06-08 19:43:34+00:00,
8968,1,1,0,0,human_only,human,Update Cloud UI docs,2025-06-06 20:29:17+00:00,2025-06-06 21:09:55+00:00,
8967,4,3,0,1,hybrid,"human, agent",Update CLI mode documentation to recommend pip install,2025-06-06 19:49:08+00:00,2025-06-09 12:13:10+00:00,
8965,1,1,0,0,human_only,human,Migrate to modern logger interface in server utils,2025-06-06 19:26:35+00:00,2025-06-10 14:25:07+00:00,
8957,1,1,0,0,human_only,human,feat(chat): show message timestamp,2025-06-06 18:10:01+00:00,,
8954,4,2,0,2,hybrid,"human, agent",Patch release branch 0.41.1,2025-06-06 17:59:20+00:00,,
8952,30,14,0,16,hybrid,"human, agent",Add email validation in user settings,2025-06-06 17:17:50+00:00,,
8949,3,3,0,0,human_only,human,[Fix]: make sure to track opened PRs using Git MCP,2025-06-06 16:31:58+00:00,2025-06-06 18:22:14+00:00,
8948,2,2,0,0,human_only,human,Fix performance issue with ChatInput by converting to an uncontrolled input,2025-06-06 14:47:02+00:00,,
8947,3,3,0,0,human_only,human,Fix for nested runtimes still using the relative url,2025-06-06 14:42:37+00:00,2025-06-06 15:42:54+00:00,
8946,3,3,0,0,human_only,human,Update gitlab integration docs,2025-06-06 14:12:36+00:00,2025-06-06 20:07:55+00:00,
8945,18,17,0,1,hybrid,"human, agent",feat(chat): support file upload,2025-06-06 11:47:09+00:00,2025-06-18 16:13:07+00:00,
8943,30,30,0,0,human_only,human,Fix: Clean up finished sessions on disconnect to prevent reconnection issues,2025-06-06 09:34:56+00:00,,
8941,15,0,0,15,agent_only,agent,Add conversation CLI commands,2025-06-06 03:23:56+00:00,,
8940,6,3,0,3,hybrid,"human, agent",Suppress pydub warning about ffmpeg/avconv not found,2025-06-06 02:34:34+00:00,2025-06-17 18:44:33+00:00,
8939,9,0,0,9,agent_only,agent,Add team CLI interface for OpenHands API,2025-06-06 02:10:50+00:00,,
8938,3,1,0,2,hybrid,"human, agent",Add Google AI Studio API key instructions to documentation,2025-06-06 01:41:17+00:00,2025-06-06 15:39:35+00:00,
8936,1,1,0,0,human_only,human,[Fix]: add missing await,2025-06-05 21:32:16+00:00,2025-06-05 21:52:31+00:00,
8934,10,5,0,5,hybrid,"human, agent",docs: Update repo.md for runtime testing documentation and environment setup,2025-06-05 21:18:26+00:00,,
8932,6,2,0,4,hybrid,"human, agent",feat(agent): remind the agent that it can use timeout to increase the amount of time the command is running,2025-06-05 19:48:38+00:00,2025-06-06 03:57:33+00:00,
8931,8,8,0,0,human_only,human,(refactor): Update MCP Client to use FastMCP,2025-06-05 19:44:30+00:00,2025-06-06 02:01:39+00:00,
8930,1,0,0,1,agent_only,agent,chore(dependency): Update opentelemetry-api to resolve conflict with langfuse,2025-06-05 19:21:45+00:00,2025-06-05 20:26:51+00:00,
8928,2,2,0,0,human_only,human,fix: prevent LLM settings reset when page loses focus during initial setup,2025-06-05 18:59:40+00:00,2025-06-07 20:52:59+00:00,
8927,2,2,0,0,human_only,human,Fix missing None-check in get_conversations,2025-06-05 18:36:07+00:00,2025-06-05 18:55:42+00:00,
8925,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group across 1 directory with 24 updates,2025-06-05 17:32:56+00:00,,
8924,30,26,0,4,hybrid,"human, agent",Improved WebSocket Error Handling,2025-06-05 16:36:52+00:00,2025-06-05 22:42:18+00:00,
8923,13,10,0,3,hybrid,"human, agent",[Fix]: Broken links from cloud resolver,2025-06-05 16:12:12+00:00,2025-06-06 01:46:05+00:00,
8922,5,4,0,1,hybrid,"human, agent",Update OpenHands Cloud and GitHub Integrations,2025-06-05 15:48:35+00:00,2025-06-05 17:39:35+00:00,
8921,3,3,0,0,human_only,human,Improve type coverage for nested runtime,2025-06-05 15:23:58+00:00,2025-06-05 16:19:53+00:00,
8918,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group across 1 directory with 23 updates,2025-06-05 14:52:35+00:00,,
8917,1,1,0,0,human_only,human,Added feature flag for opening vscode in a new tab,2025-06-05 14:41:01+00:00,2025-06-05 16:32:07+00:00,
8915,1,1,0,0,human_only,human,Fix NoneType error in get_conversation and other typesafety,2025-06-05 10:19:44+00:00,,
8914,1,0,0,1,agent_only,agent,Fix NoneType error in detach_from_conversation,2025-06-05 09:41:33+00:00,,
8913,3,1,0,2,hybrid,"human, agent",Fix type errors in conversation manager and utils,2025-06-05 09:27:12+00:00,,
8912,1,0,0,1,agent_only,agent,Fix type errors in conversation manager and utils,2025-06-05 09:12:59+00:00,2025-06-05 09:16:18+00:00,
8911,3,1,0,2,hybrid,"human, agent",Add stricter type checking for conversation manager and utils,2025-06-05 08:51:01+00:00,,
8908,4,4,0,0,human_only,human,Fix: Bug of transform user message to tool message when user message's content is list and length is greater than one in convert_non_fncall_messages_to_fncall_messages method.,2025-06-05 05:35:36+00:00,,
8907,1,0,0,1,agent_only,agent,Apply pre-commit formatting fixes to bridge files,2025-06-05 03:22:57+00:00,,
8905,2,2,0,0,human_only,human,0.41.0 Release Branch,2025-06-04 23:27:10+00:00,2025-06-05 17:25:18+00:00,
8904,2,2,0,0,human_only,human,Split quickstart and getting started workflow,2025-06-04 21:10:05+00:00,2025-06-05 14:01:36+00:00,
8903,16,11,0,5,hybrid,"human, agent",[Docs]: add slack integration docs,2025-06-04 20:04:37+00:00,2025-06-11 19:32:54+00:00,
8902,5,5,0,0,human_only,human,No more 500 error when jumping between conversations (Nested Runtimes),2025-06-04 20:01:37+00:00,2025-06-04 21:55:27+00:00,
8901,1,1,0,0,human_only,human,fix(frontend): add security analyzer placeholder,2025-06-04 19:53:07+00:00,2025-06-04 20:07:23+00:00,
8900,8,6,0,2,hybrid,"human, agent",Add unit tests for View object,2025-06-04 19:29:17+00:00,2025-06-05 01:35:32+00:00,
8899,4,4,0,0,human_only,human,Assorted fixes for the nested / docker runtimes.,2025-06-04 19:02:29+00:00,2025-06-04 19:56:03+00:00,
8898,18,18,0,0,human_only,human,Fix for running git commands with the proper user,2025-06-04 18:37:23+00:00,2025-06-06 00:20:15+00:00,
8897,1,1,0,0,human_only,human,"Revert ""Unrevert ""Add username parameter to AsyncBashSession""""",2025-06-04 18:33:07+00:00,2025-06-04 18:45:28+00:00,
8896,12,8,0,4,hybrid,"human, agent",feat(agent): Add TODO.md workflow for long-horizon tasks into a separate system prompt,2025-06-04 18:29:45+00:00,2025-06-28 13:08:13+00:00,
8894,2,2,0,0,human_only,human,(Hotfix): make sure MCP tool error observations are surfaced to agent,2025-06-04 17:53:50+00:00,2025-06-04 18:42:09+00:00,
8893,1,0,0,1,agent_only,agent,Fix action suggestions to use git_provider from conversation metadata,2025-06-04 17:39:21+00:00,,
8892,1,1,0,0,human_only,human,Move the documentation tabs from top to left nav,2025-06-04 16:26:31+00:00,2025-06-04 18:46:29+00:00,
8891,1,1,0,0,human_only,human,fix: make setup.sh executable for devcontainer postCreateCommand,2025-06-04 15:43:22+00:00,2025-06-06 12:26:22+00:00,
8890,2,0,0,2,agent_only,agent,Add enhanced logging for error paths in add-git-providers endpoint,2025-06-04 15:38:37+00:00,,
8889,2,0,0,2,agent_only,agent,Increase sandbox close delay in sandbox_config.py to 3600 seconds,2025-06-04 15:16:29+00:00,2025-06-04 18:12:33+00:00,
8888,1,1,0,0,human_only,human,Fix for nested mount volumes,2025-06-04 15:01:18+00:00,2025-06-04 15:30:57+00:00,
8887,1,1,0,0,human_only,human,Bump condenser window up by 75%,2025-06-04 14:57:33+00:00,2025-06-04 15:12:23+00:00,
8886,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group in /frontend with 22 updates,2025-06-04 14:34:18+00:00,,
8883,13,12,0,1,hybrid,"human, agent",Add conversation start and stop endpoints,2025-06-03 23:21:17+00:00,2025-06-04 22:29:24+00:00,
8882,2,2,0,0,human_only,human,Debug mcp auth,2025-06-03 20:48:14+00:00,,
8881,5,4,0,1,hybrid,"human, agent",Fix VSCode iframe SameSite cookie issue with cross-origin fallback,2025-06-03 20:41:31+00:00,2025-06-04 15:23:48+00:00,
8879,1,1,0,0,human_only,human,fix(docs): fix all .md links,2025-06-03 17:54:48+00:00,2025-06-03 18:33:12+00:00,
8877,21,17,0,4,hybrid,"human, agent",refactor(MCP): Replace `MCPRouter` with FastMCP Proxy,2025-06-03 15:39:38+00:00,2025-06-08 22:03:18+00:00,
8876,1,1,0,0,human_only,human,fix(docs): redirect all /modules to /,2025-06-03 15:29:00+00:00,2025-06-03 16:22:11+00:00,
8875,2,2,0,0,human_only,human,Re-update to 0.40,2025-06-03 15:16:36+00:00,2025-06-03 16:17:26+00:00,
8874,3,3,0,0,human_only,human,Draft - never merge!,2025-06-03 15:15:21+00:00,,
8873,4,0,0,4,agent_only,agent,Update sidebar titles to make parallels between cloud and local usage more clear,2025-06-03 14:56:22+00:00,,
8872,2,0,0,2,agent_only,agent,Restructure docs sidebar to improve clarity between cloud and local usage,2025-06-03 14:40:41+00:00,,
8870,3,2,0,1,hybrid,"human, agent",Add search engine setup documentation,2025-06-03 14:20:59+00:00,2025-06-03 15:27:31+00:00,
8869,1,1,0,0,human_only,human,Fix CLI mode docs,2025-06-03 14:18:09+00:00,2025-06-03 15:14:33+00:00,
8868,21,5,0,16,hybrid,"human, agent",Fix: Continue evaluation when an instance fails after max retries,2025-06-03 14:04:54+00:00,2025-07-16 22:42:44+00:00,
8867,9,7,0,2,hybrid,"human, agent",Change ITERATIVE_EVAL_MODE default to true and update README,2025-06-03 13:54:05+00:00,,
8865,1,1,0,0,human_only,human,Fix for nested event store,2025-06-03 03:11:11+00:00,2025-06-03 13:50:50+00:00,
8864,17,11,0,6,hybrid,"human, agent",[Feat]: support streamable http mcp,2025-06-03 02:24:20+00:00,2025-06-03 17:06:44+00:00,
8863,1,1,0,0,human_only,human,Now using Dependency Injection to associate conversations with requests,2025-06-03 00:12:14+00:00,2025-06-03 23:36:45+00:00,
8861,30,14,0,16,hybrid,"human, agent",Allow user to change their email address,2025-06-02 20:40:26+00:00,2025-06-06 18:22:30+00:00,
8860,3,2,0,1,hybrid,"human, agent",Fix for event params,2025-06-02 20:24:15+00:00,2025-06-02 21:16:00+00:00,
8857,1,1,0,0,human_only,human,Added X-Session-API-Key to nested event store,2025-06-02 19:45:40+00:00,2025-06-02 20:15:41+00:00,
8856,7,7,0,0,human_only,human,fix(mcp): authentication for mcp calls in remote runtime,2025-06-02 18:28:28+00:00,2025-06-02 21:41:47+00:00,
8854,3,3,0,0,human_only,human,Fix passing of Git credentials to Docker Runtime,2025-06-02 16:51:13+00:00,,
8852,4,4,0,0,human_only,human,Update devcontainer.json to mount workspace from host,2025-06-02 16:32:54+00:00,,
8850,3,0,0,3,agent_only,agent,Rename _load_runtime to create_test_runtime and update config references,2025-06-02 15:45:10+00:00,,
8849,1,0,1,0,bot_only,bot,chore(deps-dev): bump eslint-plugin-prettier from 5.4.0 to 5.4.1 in /frontend in the eslint group,2025-06-02 15:38:19+00:00,2025-06-03 16:30:10+00:00,
8848,2,1,0,1,hybrid,"human, agent",docs: migrate all docs from All-Hands-AI/docs to OpenHands repo,2025-06-02 14:44:27+00:00,2025-06-02 21:12:10+00:00,
8846,9,4,0,5,hybrid,"human, agent",Update action_execution_server.py timeout,2025-06-02 13:11:55+00:00,,
8842,1,1,0,0,human_only,human,Add home router,2025-06-02 07:21:19+00:00,,
8841,21,21,0,0,human_only,human,Update Daytona Runtime,2025-06-02 07:09:21+00:00,,
8840,3,3,0,0,human_only,human,Add INIT_PLUGIN_TIMEOUT env,2025-06-02 04:50:07+00:00,2025-06-02 18:47:59+00:00,
8839,1,0,0,1,agent_only,agent,Fix typo in issue_resolver.py: 'confgurable' -> 'configurable',2025-06-02 02:48:55+00:00,2025-06-02 04:11:34+00:00,
8836,2,2,0,0,human_only,human,Add timestamp tooltip on chat messages,2025-06-01 21:20:00+00:00,,
8834,1,1,0,0,human_only,human,chore: main merged,2025-06-01 15:43:53+00:00,,
8833,3,3,0,0,human_only,human,Reduce the noise from loggers,2025-06-01 14:04:05+00:00,2025-06-02 14:34:29+00:00,
8830,1,1,0,0,human_only,human,Fix all broken docs links across the project,2025-06-01 01:10:51+00:00,2025-06-01 01:24:59+00:00,
8829,1,1,0,0,human_only,human,Fix broken links in README after docs site upgrade,2025-05-31 22:33:41+00:00,2025-05-31 23:08:51+00:00,
8827,3,3,0,0,human_only,human,Regenerate openapi spec,2025-05-31 17:14:30+00:00,,
8826,1,1,0,0,human_only,human,fix(frontend): fix mobile view of settings page,2025-05-31 15:09:56+00:00,2025-06-01 13:01:09+00:00,
8823,8,4,0,4,hybrid,"human, agent",Display email,2025-05-31 05:14:11+00:00,,
8821,30,26,0,4,hybrid,"human, agent",Fix LocalRuntime to properly handle existing subprocesses,2025-05-30 21:29:43+00:00,2025-06-02 17:03:48+00:00,
8820,11,11,0,0,human_only,human,[Feat]: Add experiment manager,2025-05-30 20:27:14+00:00,2025-06-05 18:49:21+00:00,
8819,2,0,0,2,agent_only,agent,Add detailed logging to remote runtime resume process,2025-05-30 20:22:01+00:00,2025-06-02 17:12:24+00:00,
8818,7,1,0,6,hybrid,"human, agent",Fix event stream replay during new connections by replaying before joining,2025-05-30 19:54:37+00:00,2025-06-05 19:37:03+00:00,
8815,1,1,0,0,human_only,human,Change default user filestore,2025-05-30 18:33:51+00:00,,
8814,11,11,0,0,human_only,human,feat(runtime): add kubernetes support,2025-05-30 17:09:15+00:00,2025-06-18 21:25:50+00:00,
8813,1,0,0,1,agent_only,agent,Fix flaky test_command_output_continuation test in BashSession,2025-05-30 17:02:03+00:00,2025-06-03 15:44:08+00:00,
8812,22,8,0,14,hybrid,"human, agent",Add max_budget_per_task to settings,2025-05-30 15:53:46+00:00,2025-06-19 00:25:01+00:00,
8811,3,3,0,0,human_only,human,Upgrade `openhands-aci` to `0.2.15`,2025-05-30 14:47:33+00:00,2025-06-02 15:08:14+00:00,
8810,1,0,1,0,bot_only,bot,chore(deps): bump the version-all group across 1 directory with 10 updates,2025-05-30 14:40:33+00:00,,
8808,4,4,0,0,human_only,human,Port wiring fixes (DRAFT),2025-05-30 13:58:08+00:00,,
8807,2,2,0,0,human_only,human,docs: local serving with ollama documented,2025-05-30 12:50:58+00:00,2025-06-17 11:18:18+00:00,
8804,1,1,0,0,human_only,human,chore: log stack trace when failed to connect in mcp,2025-05-29 22:37:15+00:00,2025-05-30 22:35:20+00:00,
8803,6,5,0,1,hybrid,"human, agent",Make sandbox api key configurable via user settings,2025-05-29 21:32:56+00:00,2025-06-23 15:25:10+00:00,
8802,12,8,0,4,hybrid,"human, agent",feat: Add support for Mistral AI models with customizable safety sett…,2025-05-29 20:48:13+00:00,2025-06-23 18:37:06+00:00,
8801,4,4,0,0,human_only,human,[NO MERGE] testing Rb/0.41.2,2025-05-29 20:08:10+00:00,,
8800,1,1,0,0,human_only,human,[Fix]: inconsistent microagent descriptions,2025-05-29 19:55:46+00:00,2025-05-29 20:09:01+00:00,
8799,1,1,0,0,human_only,human,add more logging to debug runtime restarts,2025-05-29 19:39:18+00:00,2025-05-29 19:52:13+00:00,
8798,3,3,0,0,human_only,human,Allowing local runtimes to have domains,2025-05-29 19:23:37+00:00,2025-05-29 21:15:27+00:00,
8796,4,4,0,0,human_only,human,chore(docker): update docker base images,2025-05-29 17:01:28+00:00,2025-06-10 14:48:47+00:00,
8795,2,1,0,1,hybrid,"human, agent",Add git_provider and selected_branch to conversation response,2025-05-29 16:50:52+00:00,2025-05-29 18:59:30+00:00,
8794,7,6,0,1,hybrid,"human, agent",Fix openapi authorize,2025-05-29 16:46:33+00:00,2025-05-29 19:20:00+00:00,
8792,3,3,0,0,human_only,human,Refactor agent controller's filter,2025-05-29 16:41:30+00:00,2025-05-29 17:59:34+00:00,
8791,6,4,0,2,hybrid,"human, agent",Rename service,2025-05-29 16:35:55+00:00,2025-05-29 19:43:43+00:00,
8790,2,1,1,0,hybrid,"bot, human",chore(deps): bump the version-all group across 1 directory with 9 updates,2025-05-29 14:24:06+00:00,,
8788,4,1,0,3,hybrid,"human, agent",refactor: Update `GET /conversation` endpoint to return complete repository data,2025-05-29 13:23:21+00:00,,
8785,4,2,0,2,hybrid,"human, agent",Add images and example commands to cloud issue resolver documentation,2025-05-29 12:33:28+00:00,2025-05-29 18:13:49+00:00,
8782,11,10,0,1,hybrid,"human, agent",fix: can't add gitlab personal access token and add more debug log in validate_provider_token,2025-05-29 06:08:18+00:00,2025-06-03 15:57:04+00:00,
8780,5,4,0,1,hybrid,"human, agent",Add JSON serialization for array and object parameters when converting tools,2025-05-29 05:41:16+00:00,2025-06-10 20:48:49+00:00,
