number,title,state,created_at,updated_at,closed_at,merged_at,user,labels,label_names,label_count,has_labels,body_length,is_draft,month
9074,Update CLI docs,closed,2025-06-11 17:02:17+00:00,2025-06-23 21:58:52+00:00,2025-06-23 21:58:52+00:00,2025-06-23 21:58:52+00:00,mamoodi,[],['[NO LABEL]'],0,False,845,False,2025-06
9073,Update cli-mode.mdx to tell how settings are set,closed,2025-06-11 16:29:47+00:00,2025-06-11 17:02:34+00:00,2025-06-11 17:02:33+00:00,,neubig,[],['[NO LABEL]'],0,False,881,False,2025-06
9072,fix: fix unreachable runtime container in make docker-dev,closed,2025-06-11 16:18:50+00:00,2025-06-13 18:56:09+00:00,2025-06-12 16:46:11+00:00,2025-06-12 16:46:11+00:00,llamantino,[],['[NO LABEL]'],0,False,693,False,2025-06
9071,Fix libgl1 package for mswebench base images,closed,2025-06-11 15:48:07+00:00,2025-07-11 15:30:34+00:00,2025-07-11 15:30:34+00:00,2025-07-11 15:30:34+00:00,juanmichelini,[],['[NO LABEL]'],0,False,669,False,2025-06
9070,chore(deps): bump the version-all group across 1 directory with 11 updates,closed,2025-06-11 15:14:01+00:00,2025-06-12 15:11:26+00:00,2025-06-12 15:11:25+00:00,,dependabot[bot],"[{'name': 'python', 'color': '2b67c6', 'description': 'Pull requests that update Python code'}, {'name': 'dependencies', 'color': '0366d6', 'description': 'Pull requests that update a dependency file'}]","['python', 'dependencies']",2,True,2075,False,2025-06
9066,chore(deps): bump the version-all group across 1 directory with 24 updates,closed,2025-06-11 14:30:04+00:00,2025-06-12 14:31:36+00:00,2025-06-12 14:31:35+00:00,2025-06-12 14:31:35+00:00,dependabot[bot],"[{'name': 'dependencies', 'color': '0366d6', 'description': 'Pull requests that update a dependency file'}, {'name': 'javascript', 'color': '168700', 'description': 'Pull requests that update Javascript code'}]","['dependencies', 'javascript']",2,True,65910,False,2025-06
9064,Add vscode runtime,closed,2025-06-11 13:39:41+00:00,2025-10-06 19:12:13+00:00,2025-10-06 19:12:12+00:00,,enyst,"[{'name': 'Stale', 'color': 'ededed', 'description': 'Inactive for 40 days'}, {'name': 'lint-fix', 'color': '0233D8', 'description': 'Attempts to fix lint issues on the PR'}]","['Stale', 'lint-fix']",2,True,965,True,2025-06
9063,chore: Add deprecated tag to `ActionMessage` type,closed,2025-06-11 13:15:30+00:00,2025-06-11 14:34:08+00:00,2025-06-11 14:34:07+00:00,2025-06-11 14:34:07+00:00,amanape,[],['[NO LABEL]'],0,False,969,False,2025-06
9062,"docs: added devstral to llms list, added local llms in local setup",closed,2025-06-11 11:42:53+00:00,2025-06-11 14:22:15+00:00,2025-06-11 14:22:15+00:00,2025-06-11 14:22:15+00:00,llamantino,[],['[NO LABEL]'],0,False,599,False,2025-06
9058,Minor Typo Fixes in Comments and Documentation,closed,2025-06-11 08:44:35+00:00,2025-06-14 12:51:39+00:00,2025-06-14 12:51:39+00:00,2025-06-14 12:51:39+00:00,leopardracer,[],['[NO LABEL]'],0,False,511,False,2025-06
9057,[GAIA] Add prompt improvement to alleviate solution parsing issue & support Tavily search tools,closed,2025-06-11 06:07:26+00:00,2025-06-17 06:20:33+00:00,2025-06-17 06:16:50+00:00,2025-06-17 06:16:50+00:00,ryanhoangt,[],['[NO LABEL]'],0,False,910,False,2025-06
9056,Add more log context on key events,closed,2025-06-11 04:43:14+00:00,2025-06-11 16:34:18+00:00,2025-06-11 16:34:16+00:00,2025-06-11 16:34:16+00:00,raymyers,[],['[NO LABEL]'],0,False,1179,False,2025-06
9054,Update repo.md,closed,2025-06-11 01:13:00+00:00,2025-06-11 01:51:14+00:00,2025-06-11 01:51:13+00:00,2025-06-11 01:51:13+00:00,xingyaoww,[],['[NO LABEL]'],0,False,928,False,2025-06
9053,[Fix]: model tracking in convo metadata,closed,2025-06-10 21:34:45+00:00,2025-06-11 02:19:34+00:00,2025-06-11 02:19:33+00:00,2025-06-11 02:19:33+00:00,malhotra5,[],['[NO LABEL]'],0,False,934,False,2025-06
9052,fix: Context window truncation makes progress,closed,2025-06-10 20:03:16+00:00,2025-06-11 18:47:36+00:00,2025-06-11 18:47:35+00:00,2025-06-11 18:47:34+00:00,csmith49,[],['[NO LABEL]'],0,False,1958,False,2025-06
9051,chore(deps): bump the version-all group across 1 directory with 21 updates,closed,2025-06-10 18:26:07+00:00,2025-06-11 14:28:35+00:00,2025-06-11 14:28:34+00:00,,dependabot[bot],"[{'name': 'dependencies', 'color': '0366d6', 'description': 'Pull requests that update a dependency file'}, {'name': 'javascript', 'color': '168700', 'description': 'Pull requests that update Javascript code'}]","['dependencies', 'javascript']",2,True,65535,False,2025-06
9050,Runtime Status Fixes,closed,2025-06-10 18:16:10+00:00,2025-06-11 15:28:20+00:00,2025-06-11 15:28:18+00:00,2025-06-11 15:28:18+00:00,tofarr,[],['[NO LABEL]'],0,False,4112,False,2025-06
9049,chore(ui): update tailwind,closed,2025-06-10 16:56:14+00:00,2025-06-10 18:20:05+00:00,2025-06-10 18:20:05+00:00,2025-06-10 18:20:05+00:00,mislavlukach,[],['[NO LABEL]'],0,False,685,False,2025-06
9047,docs: Add TanStack Query state management documentation,closed,2025-06-10 16:47:00+00:00,2025-06-10 20:44:02+00:00,2025-06-10 20:44:00+00:00,2025-06-10 20:44:00+00:00,xingyaoww,[],['[NO LABEL]'],0,False,1043,False,2025-06
9046,Release 0.42.0,closed,2025-06-10 15:45:31+00:00,2025-06-10 20:34:11+00:00,2025-06-10 20:34:10+00:00,2025-06-10 20:34:10+00:00,mamoodi,[],['[NO LABEL]'],0,False,911,False,2025-06
9045,Add gray circle background to pause button for better visibility,closed,2025-06-10 15:41:25+00:00,2025-06-10 20:27:30+00:00,2025-06-10 20:27:30+00:00,,rbren,[],['[NO LABEL]'],0,False,909,True,2025-06
9044,chore(deps): bump the version-all group with 3 updates,closed,2025-06-10 15:12:33+00:00,2025-06-11 15:13:42+00:00,2025-06-11 15:13:40+00:00,,dependabot[bot],"[{'name': 'python', 'color': '2b67c6', 'description': 'Pull requests that update Python code'}, {'name': 'dependencies', 'color': '0366d6', 'description': 'Pull requests that update a dependency file'}]","['python', 'dependencies']",2,True,2075,False,2025-06
9043,chore(deps): bump the version-all group across 1 directory with 25 updates,closed,2025-06-10 14:55:36+00:00,2025-06-10 18:24:58+00:00,2025-06-10 18:24:57+00:00,,dependabot[bot],"[{'name': 'dependencies', 'color': '0366d6', 'description': 'Pull requests that update a dependency file'}, {'name': 'javascript', 'color': '168700', 'description': 'Pull requests that update Javascript code'}]","['dependencies', 'javascript']",2,True,65535,False,2025-06
9042,chore(deps): bump ubuntu from 22.04 to 24.04 in /containers/e2b-sandbox,closed,2025-06-10 14:49:58+00:00,2025-06-21 19:23:44+00:00,2025-06-21 19:23:42+00:00,2025-06-21 19:23:42+00:00,dependabot[bot],"[{'name': 'dependencies', 'color': '0366d6', 'description': 'Pull requests that update a dependency file'}, {'name': 'docker', 'color': 'fbca04', 'description': 'Related to docker'}]","['dependencies', 'docker']",2,True,1967,False,2025-06
9041,chore(deps): bump ubuntu from 22.04 to 24.04 in /containers/dev,closed,2025-06-10 14:49:56+00:00,2025-06-23 18:28:04+00:00,2025-06-23 18:04:49+00:00,,dependabot[bot],"[{'name': 'dependencies', 'color': '0366d6', 'description': 'Pull requests that update a dependency file'}, {'name': 'docker', 'color': 'fbca04', 'description': 'Related to docker'}]","['dependencies', 'docker']",2,True,1967,False,2025-06
9040,chore(deps): bump node from 22.16.0-bookworm-slim to 24.2.0-bookworm-slim in /containers/app,closed,2025-06-10 14:49:54+00:00,2025-06-30 13:40:16+00:00,2025-06-30 13:40:14+00:00,2025-06-30 13:40:14+00:00,dependabot[bot],"[{'name': 'dependencies', 'color': '0366d6', 'description': 'Pull requests that update a dependency file'}, {'name': 'docker', 'color': 'fbca04', 'description': 'Related to docker'}]","['dependencies', 'docker']",2,True,2025,False,2025-06
9039,chore(deps): bump python from 3.12.10-slim to 3.13.4-slim in /containers/app,closed,2025-06-10 14:49:26+00:00,2025-06-16 16:04:01+00:00,2025-06-16 16:03:59+00:00,,dependabot[bot],"[{'name': 'dependencies', 'color': '0366d6', 'description': 'Pull requests that update a dependency file'}, {'name': 'docker', 'color': 'fbca04', 'description': 'Related to docker'}]","['dependencies', 'docker']",2,True,1993,False,2025-06
9038,docs: add links to other language versions of README,closed,2025-06-10 13:33:37+00:00,2025-06-11 13:49:40+00:00,2025-06-11 13:49:40+00:00,2025-06-11 13:49:40+00:00,dowithless,[],['[NO LABEL]'],0,False,621,False,2025-06
9035,chore: add git to docker,closed,2025-06-10 05:44:14+00:00,2025-06-23 15:27:44+00:00,2025-06-23 15:27:44+00:00,,danielwpz,[],['[NO LABEL]'],0,False,0,False,2025-06
9033,Add warm server functionality to local runtime,closed,2025-06-10 03:49:42+00:00,2025-07-10 18:12:42+00:00,2025-07-10 18:12:40+00:00,2025-07-10 18:12:39+00:00,tofarr,[],['[NO LABEL]'],0,False,2355,False,2025-06
9032,"Feat: Visualize Agent Loop (User Input, Agent Output, Action-Obs pair…",closed,2025-06-10 03:11:52+00:00,2025-10-03 17:07:55+00:00,2025-10-03 17:07:38+00:00,,zhijie1111,"[{'name': 'Stale', 'color': 'ededed', 'description': 'Inactive for 40 days'}]",['Stale'],1,True,522,False,2025-06
9031,Add reproduction scripts for MCP Tavily issue,closed,2025-06-10 00:51:42+00:00,2025-06-10 01:11:12+00:00,2025-06-10 01:11:12+00:00,,neubig,[],['[NO LABEL]'],0,False,2209,True,2025-06
9028,Remove feedback functionality and thumbs up/down buttons,closed,2025-06-09 22:26:58+00:00,2025-08-18 12:29:27+00:00,2025-07-22 16:35:38+00:00,,xingyaoww,[],['[NO LABEL]'],0,False,1785,True,2025-06
9027,chore(deps): bump the version-all group across 1 directory with 15 updates,closed,2025-06-09 21:36:33+00:00,2025-06-09 22:04:15+00:00,2025-06-09 22:04:14+00:00,2025-06-09 22:04:14+00:00,dependabot[bot],"[{'name': 'python', 'color': '2b67c6', 'description': 'Pull requests that update Python code'}, {'name': 'dependencies', 'color': '0366d6', 'description': 'Pull requests that update a dependency file'}]","['python', 'dependencies']",2,True,2077,False,2025-06
9026,Fix Anthropic browser image format error,closed,2025-06-09 21:35:54+00:00,2025-06-09 22:08:06+00:00,2025-06-09 22:08:06+00:00,,neubig,[],['[NO LABEL]'],0,False,1862,True,2025-06
9025,Update gitlab integration docs,closed,2025-06-09 20:55:40+00:00,2025-07-18 20:42:57+00:00,2025-07-18 20:42:56+00:00,2025-07-18 20:42:56+00:00,mamoodi,[],['[NO LABEL]'],0,False,919,False,2025-06
9024,chore - log size of large events,closed,2025-06-09 19:55:50+00:00,2025-06-09 21:47:42+00:00,2025-06-09 21:47:40+00:00,2025-06-09 21:47:40+00:00,raymyers,[],['[NO LABEL]'],0,False,1262,False,2025-06
9022,Make timeout parameter required in execute_bash tool,closed,2025-06-09 19:33:44+00:00,2025-06-09 19:37:18+00:00,2025-06-09 19:35:54+00:00,,neubig,[],['[NO LABEL]'],0,False,858,True,2025-06
9021,Add Bitbucket microagent and backend implementation,closed,2025-06-09 19:27:47+00:00,2025-07-21 19:07:33+00:00,2025-06-18 04:04:29+00:00,2025-06-18 04:04:29+00:00,neubig,[],['[NO LABEL]'],0,False,1247,False,2025-06
9020,Update GUI docs,closed,2025-06-09 19:17:39+00:00,2025-06-09 20:57:22+00:00,2025-06-09 19:38:45+00:00,2025-06-09 19:38:45+00:00,mamoodi,[],['[NO LABEL]'],0,False,845,False,2025-06
9019,Move get_agent_obs_text function to browser utils and add return_all option,closed,2025-06-09 19:15:46+00:00,2025-06-11 04:32:39+00:00,2025-06-11 04:32:38+00:00,2025-06-11 04:32:38+00:00,xingyaoww,[],['[NO LABEL]'],0,False,1823,False,2025-06
9017,[Docs]: add info about lower scope tokens for gitlab,closed,2025-06-09 18:45:17+00:00,2025-06-11 19:34:07+00:00,2025-06-11 19:34:06+00:00,2025-06-11 19:34:06+00:00,malhotra5,[],['[NO LABEL]'],0,False,1147,False,2025-06
9016,chore(billing): add stripe powered by,closed,2025-06-09 17:53:53+00:00,2025-06-10 14:10:10+00:00,2025-06-10 14:10:09+00:00,2025-06-10 14:10:09+00:00,mislavlukach,[],['[NO LABEL]'],0,False,600,False,2025-06
9015,[OH-Versa] Add remaining browsing & GAIA eval improvement,closed,2025-06-09 17:51:20+00:00,2025-07-02 11:37:41+00:00,2025-06-25 05:36:15+00:00,2025-06-25 05:36:15+00:00,ryanhoangt,[],['[NO LABEL]'],0,False,1122,False,2025-06
9014,Make timeout parameter required in execute_bash tool,closed,2025-06-09 16:25:29+00:00,2025-06-15 12:38:38+00:00,2025-06-15 12:38:38+00:00,,neubig,[],['[NO LABEL]'],0,False,956,False,2025-06
9012,"[Refactor, Fix]: Agent controller state/metrics management",closed,2025-06-09 16:00:55+00:00,2025-06-16 15:26:28+00:00,2025-06-16 15:24:13+00:00,2025-06-16 15:24:13+00:00,malhotra5,[],['[NO LABEL]'],0,False,3514,False,2025-06
9011,Fix budget tracking and reset behavior,closed,2025-06-09 15:40:14+00:00,2025-06-10 00:33:20+00:00,2025-06-10 00:33:20+00:00,,malhotra5,[],['[NO LABEL]'],0,False,2031,True,2025-06
9010,Added environment variable allowing skipping dependency checks,closed,2025-06-09 15:07:24+00:00,2025-06-09 17:14:41+00:00,2025-06-09 17:14:39+00:00,2025-06-09 17:14:39+00:00,tofarr,[],['[NO LABEL]'],0,False,1338,False,2025-06
9008,Update Cloud API docs,closed,2025-06-09 14:41:02+00:00,2025-06-09 15:42:39+00:00,2025-06-09 15:42:38+00:00,2025-06-09 15:42:38+00:00,mamoodi,[],['[NO LABEL]'],0,False,952,False,2025-06
9007,fix(ui): startup message ui,closed,2025-06-09 14:40:48+00:00,2025-06-10 12:50:20+00:00,2025-06-10 12:50:18+00:00,2025-06-10 12:50:18+00:00,amanape,[],['[NO LABEL]'],0,False,1044,False,2025-06
9006,Converted exponential backoff to fixed,closed,2025-06-09 14:40:27+00:00,2025-06-09 15:02:53+00:00,2025-06-09 15:02:52+00:00,2025-06-09 15:02:52+00:00,tofarr,[],['[NO LABEL]'],0,False,969,False,2025-06
9005,Fix some broken links,closed,2025-06-09 13:24:14+00:00,2025-06-09 13:37:01+00:00,2025-06-09 13:37:00+00:00,2025-06-09 13:37:00+00:00,mamoodi,[],['[NO LABEL]'],0,False,1042,False,2025-06
9004,Fix default provider in CLI to be 'anthropic' instead of 'openai',closed,2025-06-09 12:51:36+00:00,2025-06-12 03:02:05+00:00,2025-06-12 03:02:04+00:00,2025-06-12 03:02:04+00:00,neubig,"[{'name': 'lint-fix', 'color': '0233D8', 'description': 'Attempts to fix lint issues on the PR'}]",['lint-fix'],1,True,1042,False,2025-06
9003,Fix: Enable text selection and copy-paste in CLI,closed,2025-06-09 12:28:04+00:00,2025-06-13 02:57:42+00:00,2025-06-13 02:57:42+00:00,,neubig,[],['[NO LABEL]'],0,False,978,True,2025-06
9002,Add CLI option to bug template installation dropdown,closed,2025-06-09 12:21:15+00:00,2025-06-09 12:49:49+00:00,2025-06-09 12:49:48+00:00,2025-06-09 12:49:47+00:00,neubig,[],['[NO LABEL]'],0,False,811,False,2025-06
8993,chore(deps): bump the version-all group with 15 updates,closed,2025-06-08 22:39:20+00:00,2025-06-09 21:01:08+00:00,2025-06-09 21:00:59+00:00,,dependabot[bot],"[{'name': 'python', 'color': '2b67c6', 'description': 'Pull requests that update Python code'}, {'name': 'dependencies', 'color': '0366d6', 'description': 'Pull requests that update a dependency file'}]","['python', 'dependencies']",2,True,2727,False,2025-06
8992,feat(frontend): add user feedback Likert scale for agent performance rating (only on OH Cloud),closed,2025-06-08 22:27:32+00:00,2025-06-16 19:26:25+00:00,2025-06-16 19:26:24+00:00,2025-06-16 19:26:24+00:00,xingyaoww,[],['[NO LABEL]'],0,False,2875,False,2025-06
8991,Update microagent documentation to clarify that type field is optional,closed,2025-06-08 19:39:30+00:00,2025-06-08 19:42:14+00:00,2025-06-08 19:41:23+00:00,,xingyaoww,[],['[NO LABEL]'],0,False,816,True,2025-06
8990,Update documentation for command-style microagents with user input support,closed,2025-06-08 19:15:54+00:00,2025-08-01 02:14:04+00:00,2025-08-01 02:14:04+00:00,,xingyaoww,"[{'name': 'Stale', 'color': 'ededed', 'description': 'Inactive for 40 days'}]",['Stale'],1,True,1168,True,2025-06
8987,Fix typo in evaluation README.md,closed,2025-06-08 11:33:32+00:00,2025-06-08 14:14:08+00:00,2025-06-08 14:14:07+00:00,2025-06-08 14:14:07+00:00,WiseBird,[],['[NO LABEL]'],0,False,210,False,2025-06
8986,fix: create metadata.json when joining conversation if it doesn't exist,closed,2025-06-08 02:51:56+00:00,2025-06-23 19:05:26+00:00,2025-06-23 19:05:26+00:00,2025-06-23 19:05:26+00:00,2ero20ne,[],['[NO LABEL]'],0,False,1498,False,2025-06
8985,Nested event store search no longer throwing errors on 404,closed,2025-06-07 23:50:41+00:00,2025-06-08 19:41:59+00:00,2025-06-08 19:41:58+00:00,2025-06-08 19:41:58+00:00,tofarr,[],['[NO LABEL]'],0,False,899,False,2025-06
8984,feat: Add microagents UI to conversation context menu,closed,2025-06-07 22:12:47+00:00,2025-06-11 15:12:30+00:00,2025-06-11 15:12:28+00:00,2025-06-11 15:12:28+00:00,xingyaoww,[],['[NO LABEL]'],0,False,2578,False,2025-06
8983,Add /conversation/{conv_id}/microagents endpoint,closed,2025-06-07 22:00:22+00:00,2025-06-08 18:48:04+00:00,2025-06-08 18:48:04+00:00,,xingyaoww,[],['[NO LABEL]'],0,False,1126,True,2025-06
8981,Fix UI layout issues on iPhone 12 Pro,closed,2025-06-07 16:40:33+00:00,2025-06-07 17:45:16+00:00,2025-06-07 17:45:16+00:00,,xingyaoww,[],['[NO LABEL]'],0,False,1088,True,2025-06
8977,Improve repo.md documentation to instruct OpenHands on capturing repository context efficiently,closed,2025-06-07 14:35:10+00:00,2025-06-07 15:18:56+00:00,2025-06-07 15:18:55+00:00,2025-06-07 15:18:54+00:00,neubig,[],['[NO LABEL]'],0,False,1453,False,2025-06
8975,Update summary_prompt for improved code quality,closed,2025-06-07 12:57:04+00:00,2025-06-07 19:34:25+00:00,2025-06-07 18:46:41+00:00,2025-06-07 18:46:41+00:00,neubig,[],['[NO LABEL]'],0,False,813,False,2025-06
8974,feat: increase requests timeout to 60s,closed,2025-06-07 02:34:18+00:00,2025-06-09 20:09:34+00:00,2025-06-09 18:42:04+00:00,2025-06-09 18:42:04+00:00,llamantino,[],['[NO LABEL]'],0,False,644,False,2025-06
8972,[BUG FIX] Remove usage of mapProvider and supporting tests due to undesired int…,closed,2025-06-07 00:56:03+00:00,2025-08-04 02:13:38+00:00,2025-08-04 02:13:38+00:00,,wi-ski,"[{'name': 'Stale', 'color': 'ededed', 'description': 'Inactive for 40 days'}]",['Stale'],1,True,1279,False,2025-06
8971,fix(devcontainer): configure host networking to fix runtime connection,closed,2025-06-06 22:00:40+00:00,2025-06-07 01:17:15+00:00,2025-06-06 23:44:23+00:00,2025-06-06 23:44:23+00:00,llamantino,[],['[NO LABEL]'],0,False,733,False,2025-06
8969,Wait for nested container graceful shutdown,closed,2025-06-06 21:20:39+00:00,2025-06-08 19:43:36+00:00,2025-06-08 19:43:34+00:00,2025-06-08 19:43:34+00:00,tofarr,[],['[NO LABEL]'],0,False,1007,False,2025-06
8968,Update Cloud UI docs,closed,2025-06-06 20:29:17+00:00,2025-06-06 21:09:55+00:00,2025-06-06 21:09:55+00:00,2025-06-06 21:09:55+00:00,mamoodi,[],['[NO LABEL]'],0,False,908,False,2025-06
8967,Update CLI mode documentation to recommend pip install,closed,2025-06-06 19:49:08+00:00,2025-06-09 12:13:17+00:00,2025-06-09 12:13:10+00:00,2025-06-09 12:13:10+00:00,neubig,[],['[NO LABEL]'],0,False,876,False,2025-06
8965,Migrate to modern logger interface in server utils,closed,2025-06-06 19:26:35+00:00,2025-06-10 14:25:07+00:00,2025-06-10 14:25:07+00:00,2025-06-10 14:25:07+00:00,emmanuel-ferdman,[],['[NO LABEL]'],0,False,400,False,2025-06
8957,feat(chat): show message timestamp,closed,2025-06-06 18:10:01+00:00,2025-08-04 12:00:48+00:00,2025-08-04 12:00:48+00:00,,mislavlukach,"[{'name': 'Stale', 'color': 'ededed', 'description': 'Inactive for 40 days'}]",['Stale'],1,True,1267,False,2025-06
8954,Patch release branch 0.41.1,closed,2025-06-06 17:59:20+00:00,2025-07-14 13:54:11+00:00,2025-06-09 12:27:30+00:00,,raymyers,[],['[NO LABEL]'],0,False,828,True,2025-06
8952,Add email validation in user settings,closed,2025-06-06 17:17:50+00:00,2025-07-18 02:13:10+00:00,2025-07-18 02:13:10+00:00,,chuckbutkus,"[{'name': 'Stale', 'color': 'ededed', 'description': 'Inactive for 40 days'}]",['Stale'],1,True,804,True,2025-06
8949,[Fix]: make sure to track opened PRs using Git MCP,closed,2025-06-06 16:31:58+00:00,2025-06-06 18:22:15+00:00,2025-06-06 18:22:14+00:00,2025-06-06 18:22:14+00:00,malhotra5,[],['[NO LABEL]'],0,False,1161,False,2025-06
8948,Fix performance issue with ChatInput by converting to an uncontrolled input,closed,2025-06-06 14:47:02+00:00,2025-07-24 12:03:18+00:00,2025-07-24 12:03:18+00:00,,DustinEwan,"[{'name': 'Stale', 'color': 'ededed', 'description': 'Inactive for 40 days'}]",['Stale'],1,True,2667,False,2025-06
8947,Fix for nested runtimes still using the relative url,closed,2025-06-06 14:42:37+00:00,2025-06-06 15:42:55+00:00,2025-06-06 15:42:54+00:00,2025-06-06 15:42:54+00:00,tofarr,[],['[NO LABEL]'],0,False,1331,False,2025-06
8946,Update gitlab integration docs,closed,2025-06-06 14:12:36+00:00,2025-06-06 20:07:58+00:00,2025-06-06 20:07:55+00:00,2025-06-06 20:07:55+00:00,mamoodi,[],['[NO LABEL]'],0,False,998,False,2025-06
8945,feat(chat): support file upload,closed,2025-06-06 11:47:09+00:00,2025-06-18 16:13:08+00:00,2025-06-18 16:13:07+00:00,2025-06-18 16:13:07+00:00,mislavlukach,[],['[NO LABEL]'],0,False,2446,False,2025-06
8943,Fix: Clean up finished sessions on disconnect to prevent reconnection issues,closed,2025-06-06 09:34:56+00:00,2025-06-06 09:47:21+00:00,2025-06-06 09:47:20+00:00,,meomeocoj,[],['[NO LABEL]'],0,False,855,False,2025-06
8941,Add conversation CLI commands,closed,2025-06-06 03:23:56+00:00,2025-08-18 02:12:46+00:00,2025-08-18 02:12:46+00:00,,rbren,"[{'name': 'Stale', 'color': 'ededed', 'description': 'Inactive for 40 days'}]",['Stale'],1,True,1912,True,2025-06
8940,Suppress pydub warning about ffmpeg/avconv not found,closed,2025-06-06 02:34:34+00:00,2025-06-17 18:44:35+00:00,2025-06-17 18:44:33+00:00,2025-06-17 18:44:33+00:00,rbren,[],['[NO LABEL]'],0,False,1637,False,2025-06
8939,Add team CLI interface for OpenHands API,closed,2025-06-06 02:10:50+00:00,2025-06-06 02:48:24+00:00,2025-06-06 02:48:24+00:00,,rbren,[],['[NO LABEL]'],0,False,1748,True,2025-06
8938,Add Google AI Studio API key instructions to documentation,closed,2025-06-06 01:41:17+00:00,2025-06-06 15:39:36+00:00,2025-06-06 15:39:35+00:00,2025-06-06 15:39:35+00:00,xingyaoww,[],['[NO LABEL]'],0,False,751,False,2025-06
8936,[Fix]: add missing await,closed,2025-06-05 21:32:16+00:00,2025-06-05 21:52:31+00:00,2025-06-05 21:52:31+00:00,2025-06-05 21:52:31+00:00,malhotra5,[],['[NO LABEL]'],0,False,1270,False,2025-06
8934,docs: Update repo.md for runtime testing documentation and environment setup,closed,2025-06-05 21:18:26+00:00,2025-07-31 02:13:30+00:00,2025-07-31 02:13:30+00:00,,xingyaoww,"[{'name': 'Stale', 'color': 'ededed', 'description': 'Inactive for 40 days'}]",['Stale'],1,True,1809,True,2025-06
8932,feat(agent): remind the agent that it can use timeout to increase the amount of time the command is running,closed,2025-06-05 19:48:38+00:00,2025-06-06 03:57:34+00:00,2025-06-06 03:57:33+00:00,2025-06-06 03:57:33+00:00,xingyaoww,[],['[NO LABEL]'],0,False,816,False,2025-06
8931,(refactor): Update MCP Client to use FastMCP,closed,2025-06-05 19:44:30+00:00,2025-06-06 02:01:40+00:00,2025-06-06 02:01:39+00:00,2025-06-06 02:01:39+00:00,malhotra5,[],['[NO LABEL]'],0,False,1697,False,2025-06
8930,chore(dependency): Update opentelemetry-api to resolve conflict with langfuse,closed,2025-06-05 19:21:45+00:00,2025-06-05 20:26:52+00:00,2025-06-05 20:26:51+00:00,2025-06-05 20:26:51+00:00,xingyaoww,[],['[NO LABEL]'],0,False,1988,False,2025-06
8928,fix: prevent LLM settings reset when page loses focus during initial setup,closed,2025-06-05 18:59:40+00:00,2025-06-07 22:52:02+00:00,2025-06-07 20:52:59+00:00,2025-06-07 20:52:59+00:00,llamantino,[],['[NO LABEL]'],0,False,916,False,2025-06
8927,Fix missing None-check in get_conversations,closed,2025-06-05 18:36:07+00:00,2025-06-05 18:55:42+00:00,2025-06-05 18:55:42+00:00,2025-06-05 18:55:42+00:00,raymyers,[],['[NO LABEL]'],0,False,1340,False,2025-06
